business_id,business_name,weighted_rating,hours_of_today,longitude,latitude
93EdKPCH1aFAOBntYy7N6g,Noreen's Cocktail Lounge,40,0:0-23:0,-115.1125775,36.099329
E35tgfjzj5P5PV_w7Kgu8w,Wildburger,30,0:0-12:0,-115.191902161,36.1939353943
JIl4gbnh_cORSjSrZgOjAQ,Dino's Lounge,57,0:0-23:0,-115.151978071,36.1525048165
Z8nyLyhdC0Fn5PkOZeDoGg,PT's,16,0:0-23:0,-115.062948798,36.1449247536
qQIUMQJ0pMiiYpygql3Zdg,The Lodge At Fort Apache,32,0:0-23:0,-115.2970875,36.0834198
JpPlBOJg9fb4Ib_iQnnURw,Jake's Bar,33,0:0-23:0,-115.118491539,36.1456727087
qSP6RqBJUyJRsQKTarlo6g,Artisan Hotel Boutique,51,0:0-23:0,-115.1697916,36.1436722
sxrubytQT4TvSZJRDCAavQ,5th Avenue Pub,14,0:0-23:0,-115.1461593,36.1592271
kpC__sWtWkLdSOI2xxdirg,Paddy's Pub,13,0:0-23:0,-115.1000111,36.1136535
J5ylw6DXGmQ6hM06Ne3XHw,The Phoenix Bar & Lounge,44,0:0-23:0,-115.1976095,36.1439891
8IY7Ke86FdTCAgidNTk8eA,Apache Joes Bar & Grill,26,0:0-23:0,-115.029413,36.097435
y4jBVV_r8sVnz0WBEQrvMQ,Pete Rose Sports Bar And Grill,41,7:0-23:0,-115.1721927,36.1068162
XXW_OFaYQkkGOGniujZFHg,The Peppermill Restaurant & Fireside Lounge,86,0:0-23:0,-115.163122017,36.1336130336
lPK3iqwVwFPOMswRrejwZQ,PT's,24,0:0-23:0,-115.079286,36.1010736
ze_yvgQBifCCyZ7Qr2Q0wQ,Dealer's Choice Lounge,30,0:0-23:0,-115.2026114,36.1265884
_TlhZftKs1aXCYX1rLWAGw,La Bayou Casino,48,0:0-23:0,-115.145849,36.17115
mZI_wVrLOjz4M-QIC9n-jA,PT's,22,0:0-23:0,-115.1384919,36.1008854
8jlSRdjL4ARMhS3gXrqJmQ,Pour 24,49,0:0-23:0,-115.1745851,36.1022287
5yhNO4OIxXGGRzA5ULPF7A,Evening Call - Hawaiian Marketplace,13,0:0-23:0,-115.1721069,36.1065513
lomynsQfC1dALfxyh-x_iA,Pkwy Tavern,37,0:0-23:0,-115.289145336,36.1646914353
nNV0E5Nve_dJ1uh_6nTK8w,Island Bar & Lounge,15,0:0-23:0,-115.135870501,36.1411512266
oXL7Jm7N_dUMKV4Oe-C1lA,Le Central,30,0:0-23:0,-115.168805278,36.1117138709
SaL2YDKT96zHqxlaq7mJbw,Porchlight Grille,42,8:0-8:0,-115.274574,36.130313
aKcqKNcbwNydCBnvAA4TeQ,Downtown Grand Hotel & Casino  an Ascend Hotel Collection Member,62,0:0-23:0,-115.141844067,36.1724073419
aVmuRwieNxpW8vfC3s1jpg,Sierra Gold,41,0:0-23:0,-115.259931386,36.203981645
xBWTtwUd3tFCX5vobs2p7A,QUADZ,28,0:0-23:0,-115.1505356,36.1054255
VMXl3Dm1Nwvgwo1PVYTXbg,Gold Spike,68,0:0-23:0,-115.1402675,36.1713078
XhgFynFD7ZT77wofWpeOag,Mt Charleston Lodge Restaurant,50,8:0-20:0,-115.6447412,36.2576388
ku6NGJSMJ5RwKnHrzVBQcA,Red Label Bar & Lounge,26,0:0-23:0,-115.1618004,36.1441633
tXq5OcDNUT9boWJtaxtOlA,Sierra Gold,44,0:0-23:0,-115.178472,36.28633
fBdZXMF0QyhehC_fri4JZg,Charlie's Down Under,35,0:0-23:0,-115.2596746,36.1950655
bK70PtUK5nGGLzP7tChaeg,Putter's Bar & Grill,24,0:0-23:0,-115.1029435,36.1006943
XvWw0DlG5qkSDZpsficDgA,Cd's Sports Lounge,21,0:0-23:0,-115.108831593,36.1293535084
-N_agk8RUHvHk3GVDsyunQ,Hitchin Post Saloon & Steakhouse,40,0:0-23:0,-115.082564807,36.2231775639
2sx52lDoiEtef7xgPCaoBw,VegeNation,80,8:0-21:0,-115.139310447,36.1672853944
7nRlDLrob6oK5zmGo4Vpbg,Blueberry Hill Family Restaurant,53,0:0-23:0,-115.207537,36.114985
s4A_aLo5t7aOd0Kb0GWa2w,Spectators Bar & Grill,24,0:0-23:0,-115.278106689,36.1143951416
3QcTqsdxQBlSndBdMJBRhQ,Freedom Beat,46,0:0-23:0,-115.141276185,36.1719130639
u-67zd1ImTv3EEr5kIdWrA,House of Blues Restaurant & Bar,64,7:0-23:0,-115.175868273,36.0928664972
tsf1JNdeeQf_654YUSrzRw,McMullan's Irish Pub,65,0:0-23:0,-115.2042887,36.1016609
F-g0QH4IvrFtJUVRzDtzCA,PT's,25,0:0-23:0,-115.1533426,36.0357492
GpzQY2XLo5A35Cf8-Mjazg,Johnny Vegas Grill,54,8:0-23:45,-115.091311793,36.1290736318
QkDhw-fQi_IijlqSnV3eIg,The Garage,63,0:0-23:0,-115.134207216,36.1138060521
D35unF350QG06LXDe0Cv-Q,PT's,26,0:0-23:0,-115.207012,36.239605
mcWAIj1u1S-QDBhB7CiIdQ,Moon Doggies,50,0:0-23:0,-115.1987952,36.1307984
9YZZDtrmvdz4PD2iyoRbjQ,Pandora's Lounge,20,0:0-23:0,-115.242244,36.1793
0WPXDs4ini3D7jpiy1Daqw,The Market,42,8:0-22:0,-115.13913,36.168245
67OIG-1s4IAXb-YXNk6ZJg,Charlie's Las Vegas,32,0:0-23:0,-115.1986069,36.0985813
4QmwJBk9VPKyO2DfUeIVWg,Tommy Rocker's Mojave Beach Bar & Grill,39,0:0-23:0,-115.1823118,36.1121042
Sv0mCDEF0-V-HGR0nk5Egg,Hard Hat Lounge,41,0:0-23:0,-115.1598044,36.1510984
5eqm4pyz-egd255X7PB8Xg,Las Vegas Eagle,21,0:0-23:0,-115.0996426,36.1014577
PrFLJCD1zz1s0bjKEigDLg,I-Bar,31,0:0-23:0,-115.185696,36.1169648
Wu8Ia0A5HkIlpu5ptfvcvg,PT's,28,0:0-23:0,-115.204612862,36.144954921
_3olhuCXhoqjy4M2rBp1YA,The Golden Tiki,77,0:0-23:0,-115.192284688,36.1261397025
U9nXdynQ2YR5xYx8tM3S7w,TGI Fridays,34,0:0-23:0,-115.20233,36.1448864
Y40U2KXA3v-N_h-9F8Y_aQ,OG Gentlemen's Club,48,0:0-23:0,-115.151299723,36.152201388
w7r_pDUR56k0raVroQhhww,Steiner's A Nevada Style Pub,62,0:0-23:0,-115.171651706,36.0407804215
Zx4iQCmQfAaXvwPc3TlF9Q,The Tap House,51,0:0-23:0,-115.2182327,36.1588017
5_ymZOB8eIfi6nzzL5-SbQ,Born And Raised,58,0:0-23:0,-115.269099123,36.0560044591
